source,lun_bawang,english,type
t4t,"Idi Allah nepebala, ""Do' inan acang."" Idi acang pana' mangun.","God said, “I want light to shine!” And light shone.",sentence
t4t,"Idi Ieh neneten acang ineh ""Maco"" idi dacem ineh titenNeh ""Malem."" Pangeh ineh inan malem idi pekak, ieh ineh aco luk pun-pun.","He gave to the light the name ‘day’, and he gave to the darkness the name ‘night’. After that, there was an evening which was followed by a morning. He called that whole period of time ‘the first day’.",sentence
t4t,"Idi Allah nepebala, ""Do' inan su luk pa luun abpa' ineh luk peringuned, pelé mabpat abpa' pad inan dueh babpat.”","Then God said, “I command that there be an empty space like a huge dome to separate the water that is above it from the water on the earth that is below it!”",sentence
t4t,"Idi Allah neneten su luk pa luun abpa' ineh ""Langit."" Pangeh ineh inan malem idi pekak, ieh ineh aco luk kedueh.","Then there was another evening, which was followed by another morning. He called that period of time ‘the second day’.",sentence
t4t,"Idi Allah nepebala, ""Do' amung-amung abpa' luk pa liang langit ineh mepamung bang sebuleng luk inan, pad inan su luk tekering."" Idi pangeh mangun mepad kudeng ineh.","Then God said, “I want the water that is below the sky to come together, and dry ground to appear and rise above the water.” And that is what happened.",sentence
t4t,"Idi Allah neneten su luk tekering ineh ""Tana'"", idi abpa' luk nepamung ineh titenNeh ""Abpa' Rayeh."" Idi Allah nenier amung luk inau'Neh idi Ieh mawang niat.","God gave to the ground the name ‘earth’, and he gave to the water that came together the name ‘oceans’. God was pleased with the earth and the oceans.",sentence
t4t,"Idi Ieh nepebala, ""Do' tana' ngeruat uduh, irin luk inan ilung, idi puar-puar lawa luk kebua' luk inan ilung bang ineh, maya' ayudeh."" Idi pangeh mangun mepad kudeng ineh.","Then God said, “I want the earth to produce plants, including plants that will produce seeds and trees that will produce fruit. Each kind of tree will bear its own kind of fruit.”",sentence
t4t,"Idi Allah nepebala, ""Do' inan tuda'-tuda' acang bang langit, pad ngatad acang ratnan dacem, idi mangun ku tanu' tuda'-tuda' kareb, aco, idi lak.","Then God said, “I want a sun, a moon, and many stars to shine in the sky. The sun will shine in the daytime and the moon and stars will shine during the nighttime. By the changes in their appearance they will indicate the various seasons (OR, the times for special celebrations), and will enable people to know when days and years begin.",sentence
t4t,"Idi Allah nepebala, ""Do' amung-amung abpa' ngeruat mula' pudut luk inan niat. Idi do' inan suit-suit temulud arang gawa'.”","Then God said, “I want many creatures to live in all the oceans, and I also want birds to fly in the sky above the earth.”",sentence
t4t,"Idi Ieh nemaré peruan kuandeh, kebalaNeh, ""Do' muyuh ngeruat anak idi iuk amé' mula' idi manu' abpa' rayeh, idi do' amung-amung suit pana' amé'- amé' mula'.”","God blessed them. He said, “Produce offspring and become very numerous. I want the creatures in the water to live in all the oceans, and birds also to become very numerous.” And that is what happened.",sentence
t4t,"Idi Allah nepebala, ""Do' tana' ineh ngeruat puar-puar pung luk melayo idi puar-puar pung luk meliput, luk rayeh idi luk isuut teh."" Idi pangeh mangun luk kudeng ineh.","Then God said, “I want various kinds of creatures to appear on the earth. There will be many kinds of ◄livestock/domestic animals►, creatures that scurry across the ground, and large wild animals.” And that is what happened.",sentence
t4t,"Idi Allah nemaré peruan kuan didueh. Idi kebala Allah nedidueh, ""Do' medueh mula' anak, pad inul medueh manu' tana' ini idi ngimet neneh, idi ngimet amung-amung lawid, idi suit, idi pung luk meliput, luk rayeh idi luk isuut teh.”","God blessed them, saying, “Produce many children, who will live all over the earth and rule over it. I want them to rule over the fish and the birds and over all creatures that scurry across the ground.”",sentence
t4t,"Idi teh kebala Allah, ""Ui maré nemedueh puar-puar pimara, idi puar-puar bua' luk miak kenen medueh.","God said to the humans, “Listen! I have given you all the plants that produce seeds, all over the earth, and all the trees that have seeds in their fruit. All these things are for you to eat.",sentence
