source,lun_bawang,english,type
kemaloh_lundayeh_dictionary,finurar,broken by someone by pounding or grinding,definition
kemaloh_lundayeh_dictionary,finureg,plucked by someone (fruit),definition
kemaloh_lundayeh_dictionary,finuri',"was broken by someone (cake, bread)",definition
kemaloh_lundayeh_dictionary,finuri',the implement used to chip,definition
kemaloh_lundayeh_dictionary,finuro,the farm was guarded from rodents by someone,definition
kemaloh_lundayeh_dictionary,binuro,the farm was guarded from rodents by someone,definition
kemaloh_lundayeh_dictionary,finurut,massaged by someone,definition
kemaloh_lundayeh_dictionary,finurut,bridewealth was paid by someone,definition
kemaloh_lundayeh_dictionary,finutu',the karit or other item used to chop branches of a tree,definition
kemaloh_lundayeh_dictionary,finutul,a long object was broken by someone,definition
kemaloh_lundayeh_dictionary,finutul,something used to join two hard straight objects,definition
kemaloh_lundayeh_dictionary,finutub,a lid or sheet used to cover an opening of something,definition
kemaloh_lundayeh_dictionary,finutuh,requested or asked from someone,definition
kemaloh_lundayeh_dictionary,finutuk,the implement used to aid in beating,definition
kemaloh_lundayeh_dictionary,finutum,a piece of a long item used to make a joint between two other pieces to make them one length,definition
kemaloh_lundayeh_dictionary,finutung,a glowing splinter used to start a fire on a farm,definition
kemaloh_lundayeh_dictionary,finutut,a string or cord was broken by someone,definition
kemaloh_lundayeh_dictionary,finuu,a needle,word
kemaloh_lundayeh_dictionary,finuu',a pineapple leaf was stripped by someone,definition
kemaloh_lundayeh_dictionary,finuut,reeds (for making mats) were straightened by someone,definition
kemaloh_lundayeh_dictionary,fira',stopping bleeding from a cut,definition
kemaloh_lundayeh_dictionary,mira',stop bleeding from a cut with hot water,definition
kemaloh_lundayeh_dictionary,finira',hot water was poured onto the cut to stop the bleeding,definition
kemaloh_lundayeh_dictionary,finira',radak leaves boiled in water to aid in stopping the bleeding from a cut,definition
kemaloh_lundayeh_dictionary,firaa,dibbled hole was filled with grain by someone,definition
kemaloh_lundayeh_dictionary,firafid,bunched together by someone,definition
kemaloh_lundayeh_dictionary,binrafid,bunched together by someone,definition
kemaloh_lundayeh_dictionary,firag,scattered all over the floor by someone,definition
kemaloh_lundayeh_dictionary,firak,a sliver,word
kemaloh_lundayeh_dictionary,firak,wood splinters,word
kemaloh_lundayeh_dictionary,firap,rammed by a cockerel or hen,definition
kemaloh_lundayeh_dictionary,firdaus,paradise,word
kemaloh_lundayeh_dictionary,firek,strangled or choked by someone,definition
kemaloh_lundayeh_dictionary,firid,pushed off a table top by someone,definition
kemaloh_lundayeh_dictionary,firit,"sparrow, Varieties: firit sia', firit item, firit tukii",definition
kemaloh_lundayeh_dictionary,"Firit, Pa'","a tributary of the Lutut River, Kecamatan Krayan, KALTIM",definition
kemaloh_lundayeh_dictionary,"Firit, Pa'",a former village site; now regrouped with Berian Baru,definition
kemaloh_lundayeh_dictionary,firud,asking for silence,word
kemaloh_lundayeh_dictionary,firud,silence,word
kemaloh_lundayeh_dictionary,firud,quiet,word
kemaloh_lundayeh_dictionary,mefirud,"quiet, not talkative",word
kemaloh_lundayeh_dictionary,nefirud,kept quiet,word
kemaloh_lundayeh_dictionary,firur,a variety of tree used for house boards,definition
kemaloh_lundayeh_dictionary,firuu,split rattan was smoothed by passing or pulling it through a hole in a piece of sheet metal,definition
kemaloh_lundayeh_dictionary,fisak,squeezing; fondling; pressing,word
kemaloh_lundayeh_dictionary,misak,squeeze; fondle; press or exert pressure with fingers or hand,definition
kemaloh_lundayeh_dictionary,finisak,squeezed; fondled; pressed with fingers,definition
kemaloh_lundayeh_dictionary,fisaken,"will be squeezed, fondled or pressed",definition
kemaloh_lundayeh_dictionary,mefisak,able to squeeze,definition
kemaloh_lundayeh_dictionary,mefisak,can be squeezed,definition
kemaloh_lundayeh_dictionary,mefisak icung,has a flat nose,word
kemaloh_lundayeh_dictionary,fimisak,the hand or implement used to squeeze something,definition
kemaloh_lundayeh_dictionary,fisad,something was leaned against a wall,definition
kemaloh_lundayeh_dictionary,fisag,was scattered,word
kemaloh_lundayeh_dictionary,fisag,was disintegrated; disoriented,definition
kemaloh_lundayeh_dictionary,fisang,"a tear, especially of the lip or ear",definition
kemaloh_lundayeh_dictionary,misang,tear the ear or the lip,word
kemaloh_lundayeh_dictionary,nefisang,was torn (lip or ear),word
