book_code,book_name_lb,chapter,verse,lun_bawang
GEN,Pudut,1,1,"Kareb Allah nengimun mudut tana' idi amung-amung luk bang langit,"
GEN,Pudut,1,2,"idi tana' ineh na luk idi ayu idi na uang teh, idi dacem maput pa luun abpa'. Idi Roh Allah nesigio pa luun abpa' ineh."
GEN,Pudut,1,3,"Idi Allah nepebala, ""Do' inan acang."" Idi acang pana' mangun."
GEN,Pudut,1,4,Idi Allah nenier acang ineh idi Ieh mawang niat. Idi Ieh nengatad acang ineh ratnan dacem.
GEN,Pudut,1,5,"Idi Ieh neneten acang ineh ""Maco"" idi dacem ineh titenNeh ""Malem."" Pangeh ineh inan malem idi pekak, ieh ineh aco luk pun-pun."
GEN,Pudut,1,6,"Idi Allah nepebala, ""Do' inan su luk pa luun abpa' ineh luk peringuned, pelé mabpat abpa' pad inan dueh babpat.”"
GEN,Pudut,1,7,Idi Allah nenganau' su luk pa luun abpa' ineh idi nengatad abpa' luk pa liang ratnan abpa' luk pa luun. Idi pangeh mangun mepad kudeng ineh.
GEN,Pudut,1,8,"Idi Allah neneten su luk pa luun abpa' ineh ""Langit."" Pangeh ineh inan malem idi pekak, ieh ineh aco luk kedueh."
GEN,Pudut,1,9,"Idi Allah nepebala, ""Do' amung-amung abpa' luk pa liang langit ineh mepamung bang sebuleng luk inan, pad inan su luk tekering."" Idi pangeh mangun mepad kudeng ineh."
GEN,Pudut,1,10,"Idi Allah neneten su luk tekering ineh ""Tana'"", idi abpa' luk nepamung ineh titenNeh ""Abpa' Rayeh."" Idi Allah nenier amung luk inau'Neh idi Ieh mawang niat."
GEN,Pudut,1,11,"Idi Ieh nepebala, ""Do' tana' ngeruat uduh, irin luk inan ilung, idi puar-puar lawa luk kebua' luk inan ilung bang ineh, maya' ayudeh."" Idi pangeh mangun mepad kudeng ineh."
GEN,Pudut,1,12,"Idi tana' nengeruat uduh, irin luk inan ilung maya' ayudeh, idi puar-puar lawa luk kebua' luk inan ilung bang ineh, maya' ayudeh. Idi Allah nenier amung luk inau'Neh, idi Ieh mawang niat."
GEN,Pudut,1,13,"Pangeh ineh inan malem idi pekak, ieh ineh aco luk keteluh."
GEN,Pudut,1,14,"Idi Allah nepebala, ""Do' inan tuda'-tuda' acang bang langit, pad ngatad acang ratnan dacem, idi mangun ku tanu' tuda'-tuda' kareb, aco, idi lak."
GEN,Pudut,1,15,"Idi do' ideh mangun ku acang bang langit pad ngacang tana'."" Idi pangeh mangun luk kudeng ineh."
GEN,Pudut,1,16,"Idi Allah nenganau' dueh acang luk rayeh ineh, ieh ineh luk meluun rayeh luk inan lalud kareb maco, idi luk isuut ineh luk inan lalud kareb medacem. Idi Ieh nenganau' amung-amung gituen pana'."
GEN,Pudut,1,17,"Idi Allah nenganau' acang ineh bang langit pad ngacang pa luun tana',"
GEN,Pudut,1,18,"idi luk inan lalud kareb macang idi kareb medacem teh, pelé ngatad acang ratnan dacem. Idi Allah nenier amung luk inau'Neh, idi Ieh mawang niat."
GEN,Pudut,1,19,"Pangeh ineh inan malem idi pekak, ieh ineh aco luk keapat."
GEN,Pudut,1,20,"Idi Allah nepebala, ""Do' amung-amung abpa' ngeruat mula' pudut luk inan niat. Idi do' inan suit-suit temulud arang gawa'.”"
GEN,Pudut,1,21,"Idi Allah nemudut puar-puar pung luk mekara bang abpa' rayeh, idi puar- puar pudut luk inan niat luk amé' mula' bang abpa' ineh, idi puar-puar suit luk inan ilad teh. Idi Allah nenier amung luk inau'Neh, idi Ieh mawang niat."
GEN,Pudut,1,22,"Idi Ieh nemaré peruan kuandeh, kebalaNeh, ""Do' muyuh ngeruat anak idi iuk amé' mula' idi manu' abpa' rayeh, idi do' amung-amung suit pana' amé'- amé' mula'.”"
GEN,Pudut,1,23,"Pangeh ineh inan malem idi pekak, ieh ineh aco luk kelimeh."
GEN,Pudut,1,24,"Idi Allah nepebala, ""Do' tana' ineh ngeruat puar-puar pung luk melayo idi puar-puar pung luk meliput, luk rayeh idi luk isuut teh."" Idi pangeh mangun luk kudeng ineh."
GEN,Pudut,1,25,"Idi Allah nemudut amung ineh, idi Ieh mawang niat nenier luk inau'Neh ineh."
GEN,Pudut,1,26,"Idi Allah nepebala, ""Do' Tau mudut lemulun maya' ayu Tau, pelé ieh ngimet amung-amung lawid, suit, pung luk melayo, idi pung luk meliput, luk rayeh idi luk isuut teh.”"
GEN,Pudut,1,27,"Idi Allah nemudut lemulun ineh, maya' ayuNeh sebuleng. Idi Ieh nenganau' lemulun ineh mangun ku deléi idi decur."
GEN,Pudut,1,28,"Idi Allah nemaré peruan kuan didueh. Idi kebala Allah nedidueh, ""Do' medueh mula' anak, pad inul medueh manu' tana' ini idi ngimet neneh, idi ngimet amung-amung lawid, idi suit, idi pung luk meliput, luk rayeh idi luk isuut teh.”"
GEN,Pudut,1,29,"Idi teh kebala Allah, ""Ui maré nemedueh puar-puar pimara, idi puar-puar bua' luk miak kenen medueh."
GEN,Pudut,1,30,"Iamo' kuan amung-amung pung luk meliput, idi kuan amung-amung suit, Ui maré uduh luk miak kenendeh."" Idi pangeh mangun mepad kudeng ineh."
GEN,Pudut,1,31,"Idi Allah nenier anid-anid luk pinudutNeh ineh, idi Ieh pelaba awang niat. Pangeh ineh inan malem idi pekak, ieh ineh aco luk keanem."
GEN,Pudut,2,1,Idi tana' idi langit pangeh pinudut.
GEN,Pudut,2,2,Idi bang aco luk ketudu' Allah nemangeh kekamenNeh. Idi Ieh nucu'.
GEN,Pudut,2,3,"Idi Ieh nengeperuan aco luk ketudu' ineh idi nengeligan neneh, ngaceku bang aco sineh Ieh nemangeh pudutNeh, idi nucu' ratnan kekamenNeh."
GEN,Pudut,2,4,"Idi kudeng ineh tana' idi langit pangeh pinudut. Kareb Tuhan Allah nemudut tana' idi langit,"
GEN,Pudut,2,5,"na luk idi uduh idi ilung luk mulun luun tana', ngaceku nateh Tuhan Allah nengebpeh udan pa luun tana' ineh, idi nateh lemulun luk ngasa' tana' ineh."
GEN,Pudut,2,6,Iamo' inan noon remuat rat bang tana' luk ngeba' aput-aput tana' ineh.
GEN,Pudut,2,7,"Idi Tuhan Allah nenganau' lemulun ratnan abuh tana', idi Ieh nengiup bang icungneh, pad lemulun ineh inan niat, idi ieh mulun."
