source,lun_bawang,english,type
mortensen2021,Ali-ali lek maya’ tengeb Padian ineh.,"Along the banks of the Brunei River, silence reigned.",sentence
mortensen2021,"“Bura’ peh ali inih?” ki Tuk Pelanuk. Lapen iTuk Pelanuk peh lek sigup nidih em, uten neh peh ieh em, telika rebpun ngepub terutung bang lubang dih meh lek ineh. Serebpu’ peh em, riek-riek meh ieh ku rebpun sigup nidih. Kian, ba peh lek ut nidih lek, meriek peh ieh em, but-but meh lek etut neh.","“Why is it so quiet here?” Mouse-deer wondered. He took his cigarette and smoked it, the smoke resembling that from smoking a porcupine in a hole. Occasionally, he would cough from the smoke. Who knows, perhaps he smoked so much that he coughed and farted.",sentence
mortensen2021,"“Aa-hah! Emé’ uih ngukut bua’ emel dai’ dayeh em,” ki Tuk Pelanuk. Lawé keneh peh em, na seburur meh lun mepapu’ neh.* “Ii, iné’ iapeh lek lun inih, na papu’ kinih lek,” ki Tuk Pelanuk.","“Aha! I’ll go and scratch the emel fruit upriver,” said Mouse-deer. As he journeyed, he did not meet so much as a single other person. “Hey, where could everyone have gone? I haven’t seen anyone,” said Mouse-deer.",sentence
mortensen2021,"Iuk peh lek lawé neh emé’ dai’ dayeh, dui, ria’ria’ lek dulun. “Ngudeh lek ideh ineh lek?3”","As he advanced upriver, oh, dear, there came the sound of a tumult. “What could they be",sentence
mortensen2021,"keburi’ Tuk Pelanuk ineh, gang-gang emé’ dai’ dayeh.","doing?” said Mouse-deer, walking hurriedly upriver.",sentence
mortensen2021,"Emé’ ieh em, edui, tetem-tetem teh lek tipan iSapi’ bang tang iBuayeh. Papu’ neh dawa’ pung.","“Say, what’s Crocodile doing to Cow?” said Mouse-deer.",sentence
mortensen2021,"“Ii, kudan iBuayeh iSapi’ ineh?” ki Tuk Pelanuk.","“Oh, Crocodile wants to eat one side of Cow’s thigh,” the animals said.",sentence
mortensen2021,"“Oo, pian kuman selipa tipan iSapi’ iBuayeh ineh,” kedawa’ pung lek.","“So, why doesn’t Crocodile just eat the side of Cow’s thigh?” said Mouse-deer.",sentence
mortensen2021,"“Kai, iko emé’ ninger bisara’ didueh ineh, mutut bisara’ didueh ineh,” kedawa’ pung ni Tuk Pelanuk.","“Go, you go hear their case, judge those two’s case,” the animals said to Mouse-deer.",sentence
mortensen2021,"“Oo, senang ineh,” ki Tuk Pelanuk nedeh. Uten iTuk Pelanuk peh lek sigup nidih em, riekriek meh lek dawa’ iTemecur, dawa’ iKelio, dawa’ iPayo deh neh. Gang-gang lek iTuk Pelanuk emé’ matun ni Buayeh didueh iSapi’.","“Oh, I’m happy to,” Mouse-deer said to them. He smoked his cigarette, and Rhinoceros, Ox, and Deer all coughed. Mouse-deer hurried toward Crocodile and Cow.",sentence
mortensen2021,"“Oo, iko men inih, eca’ Buayeh men. Kudan muh iSapi’ inih?” ki Tuk Pelanuk ni Buayeh.","“Oh, it’s you, brother Crocodile. What are you doing to Cow?” said Mouse-deer to Crocodile.",sentence
mortensen2021,"Awang-awang lek niat iBuayeh ninger ni Tuk Pelanuk nawar neneh eca’ dih. “Oo, eca’ Pelanuk, uih inih melau. Sikel kuman selipa tipan iSapi’ inih, iemo’ ieh na sikel meré. Na patut buri’ neh. Ieh sikel bisara’ atun,” ki Buayeh.","Crocodile was overjoyed to hear Mouse-deer call him “brother.” “Oh, brother Mouse-deer, I’m hungry. I want to eat one side of Cow’s thigh, but he’s not willing to give it to me. He says it’s not fair. He wants to hold a hearing first,” said Crocodile.",sentence
mortensen2021,"“Enun teh inan bisara’ eca’ Buayeh? Em iko peh eca’, melau peh nai em, ngudeh kuman selipa alang-alang, kudeh, na mabud muh dueh-dueh pekop tipan iSapi’? Na peh petap,","“What case is there to try, brother Crocodile? You, brother, if you’re hungry, why eat only one side? What, can’t you finish the whole of Cow’s thigh? If that’s not enough, eat Cow’s",sentence
mortensen2021,"kinan nai peh iSapi’ teburur-teburur dih ieh,” keneh.","whole body,” he said.",sentence
mortensen2021,"Peh ieh, meria’ neh lek dawa’ pung beken ku iTuk Pelanuk ngecuk ni Buayeh kuman ni Sapi’.*","At that, the other animals broke out into an uproar because Mouse-deer had told Crocodile to eat Cow.",sentence
mortensen2021,"“Bura’ keh becé muh, Pelanuk?” ki Sapi’. “Idi uih do’-do’ nenulong ni Buayeh peh em, idi iko ngecuk ni Buayeh kuman pekop tipan kuh, kuman negkuh?” ki Sapi’ lek. Gegkergegker lek ieh ineh, metot kenen iBuayeh.","“How could you possibly be so stupid, Mousedeer?” said Cow. “I kindly helped Crocodile, and you tell Crocodile to eat my thigh, to eat me?” said Cow. He trembled, afraid Crocodile would eat him.",sentence
mortensen2021,"“Kudeng inih,” ki Sapi’. “Emé’ uih, sikel ngirup ebpa’, sier kegkuh em, luti-luti iBuayeh ineh nan bada dai’ ineh. Sék-sék dawar neh mutuh tulong. Idi uih nengun batang dih ret iketed neh. Pengeh dih, idi uih nengun ni Buayeh iné’ bang ebpa’. Bah, kudeng apeh iko","“Like this,” said Cow. “I came along, wanting to drink water, and as I looked, there was Crocodile lying prostrate on the sand over there. He was calling out in pain, asking for help. So I lifted that log off his back with my head. After that, I carried Crocodile into the river.",sentence
mortensen2021,"mala ni Buayeh miek kuman tipan kuh, miek kuman negkuh?” ki Sapi’.","Come on, how can you tell Crocodile that he can eat my thigh, can eat me?” said Cow.",sentence
mortensen2021,"Neriruh peh lek Tuk Pelanuk rayeh-rayeh itengeb dih. “Hahaha, kian, iko luk buki’-buki’ batek inih peh nengiding ni eca’ Buayeh inih em, na keli’ kuh dulun beken, uih peh em, na tu-tu uih menu, mecing maté’ peh em, na teh uih menu,” ki Tuk Pelanuk lek.","Mouse-deer laughed loudly on the riverbank. “Ha, ha, ha, no way! You, with your flabby, bulging stomach, lifted brother Crocodile? I don’t know about everyone else, but as for me, I certainly do not believe it. Even when I die, I still will not believe it,” said Mouse-deer.",sentence
