source,lun_bawang,english,type
user_feedback,"sini, ngadanku Mat","hello, my name is Matt",sentence
user_feedback,"Alo, ngadananku Bethel. Ui sikal papu' namu idi lun rurummu","Hello, my name is Bethel. I want to meet you and your friends",sentence
user_feedback,gituen,star,word
user_feedback,Iapeh burur muyuh??,Hi how are you?,sentence
user_feedback,Rat iapeh ko?,where did you come from??,sentence
user_feedback,Becuk-becuk uko’ puut ruma’,Dogs are running under the house,sentence
user_feedback,Pengeh iko kuman?,have you eaten,sentence
user_feedback,Pian iko kuman?,Do you want to eat??,sentence
user_feedback,Ro meco! Mé amé iko lati’ aco sini??,Good morning. Areyou going to your farm today?,sentence
user_feedback,Meriruh,laugh,word
user_feedback,Penuh,full,word
user_feedback,Kuman,eat,word
user_feedback,Hello ngadanku Joyce,Hello my name is Joyce,sentence
user_feedback,Gituen,Star,word
user_feedback,gituen,Star,word
user_feedback,Felefet,Sword,word
user_feedback,Nguten muh ku ticu' faa tinueh lubang dih,You will reach into the hole with your right hand,sentence
user_feedback,"Labo, naa ngaag tulang bakaa kereb mudan","Labo, don’t chop the boar’s bones while it is raining",sentence
user_feedback,Anun kikid tau aco sinih?,What do we eat with rice today?,sentence
user_feedback,Ngadan ku Jane. Ide ngadan mu?,My name is Jane. What is your name?,sentence
user_feedback,Kulub,Lie on stomach,word
user_feedback,tekamang,Crawl,word
user_feedback,Baur,Full (eating),word
user_feedback,Tutun,Trial or temptation,word
user_feedback,Co migu,Sunday,word
user_feedback,Migu',Shameful,word
